1a3aA
TM	RMSD	GDTTS	MODEL
0.2006	17.83	21.39	./distfold-jobs/output-1a70A/1a70A_model3.pdb
0.2055	15.02	20.10	./distfold-jobs/output-1a70A/1a70A_model5.pdb
0.2064	16.99	21.13	./distfold-jobs/output-1a70A/1a70A_11.pdb
0.2085	18.21	21.65	./distfold-jobs/output-1a70A/1a70A_model1.pdb
0.2094	15.51	20.36	./distfold-jobs/output-1a70A/1a70A_7.pdb
0.2112	19.08	20.36	./distfold-jobs/output-1a70A/1a70A_3.pdb
0.2126	17.02	20.62	./distfold-jobs/output-1a70A/1a70A_20.pdb
0.2135	16.16	20.62	./distfold-jobs/output-1a70A/1a70A_17.pdb
0.2160	14.23	21.13	./distfold-jobs/output-1a70A/1a70A_19.pdb
0.2221	16.33	20.36	./distfold-jobs/output-1a70A/1a70A_5.pdb
0.2284	14.90	23.71	./distfold-jobs/output-1a70A/1a70A_9.pdb
0.2398	17.86	22.94	./distfold-jobs/output-1a70A/1a70A_14.pdb
0.2434	17.63	23.97	./distfold-jobs/output-1a70A/1a70A_8.pdb
1aapA
TM	RMSD	GDTTS	MODEL
0.1405	39.61	18.30	./distfold-jobs/output-1aapA/extended.pdb
0.1765	11.30	27.68	./distfold-jobs/output-1aapA/1aapA_5.pdb
0.1847	11.61	29.02	./distfold-jobs/output-1aapA/1aapA_3.pdb
0.1855	12.96	27.68	./distfold-jobs/output-1aapA/1aapA_15.pdb
0.1916	11.12	30.36	./distfold-jobs/output-1aapA/1aapA_19.pdb
0.1946	10.03	28.57	./distfold-jobs/output-1aapA/1aapA_model2.pdb
0.1958	9.70	29.91	./distfold-jobs/output-1aapA/1aapA_model4.pdb
0.1998	8.53	30.80	./distfold-jobs/output-1aapA/1aapA_16.pdb
0.2205	12.58	29.46	./distfold-jobs/output-1aapA/1aapA_17.pdb
0.2295	12.32	31.25	./distfold-jobs/output-1aapA/1aapA_20.pdb
0.2328	12.86	31.70	./distfold-jobs/output-1aapA/1aapA_7.pdb
0.2387	9.78	33.93	./distfold-jobs/output-1aapA/1aapA_8.pdb
0.2396	8.66	34.82	./distfold-jobs/output-1aapA/1aapA_model5.pdb
0.2430	9.07	35.27	./distfold-jobs/output-1aapA/1aapA_18.pdb
0.2515	11.64	32.59	./distfold-jobs/output-1aapA/1aapA_11.pdb
0.2566	9.16	34.82	./distfold-jobs/output-1aapA/1aapA_12.pdb
0.2567	7.47	37.50	./distfold-jobs/output-1aapA/1aapA_model3.pdb
0.2628	8.34	37.95	./distfold-jobs/output-1aapA/1aapA_model1.pdb
0.2642	9.58	32.14	./distfold-jobs/output-1aapA/1aapA_6.pdb
0.2691	12.24	33.04	./distfold-jobs/output-1aapA/1aapA_13.pdb
0.3067	7.37	39.73	./distfold-jobs/output-1aapA/1aapA_14.pdb
1abaA
TM	RMSD	GDTTS	MODEL
0.1250	52.47	12.36	./distfold-jobs/output-1abaA/extended.pdb
0.1711	12.34	21.55	./distfold-jobs/output-1abaA/1abaA_10.pdb
0.1748	12.40	20.69	./distfold-jobs/output-1abaA/1abaA_14.pdb
0.1787	13.20	21.55	./distfold-jobs/output-1abaA/1abaA_20.pdb
0.1804	12.88	21.55	./distfold-jobs/output-1abaA/1abaA_7.pdb
0.1835	12.63	20.98	./distfold-jobs/output-1abaA/1abaA_3.pdb
0.1864	11.61	22.41	./distfold-jobs/output-1abaA/1abaA_model5.pdb
0.1906	13.17	22.13	./distfold-jobs/output-1abaA/1abaA_2.pdb
0.1908	11.24	21.55	./distfold-jobs/output-1abaA/1abaA_model1.pdb
0.1980	12.91	20.69	./distfold-jobs/output-1abaA/1abaA_17.pdb
0.2010	11.82	24.43	./distfold-jobs/output-1abaA/1abaA_4.pdb
0.2068	14.45	22.70	./distfold-jobs/output-1abaA/1abaA_5.pdb
0.2105	13.10	22.41	./distfold-jobs/output-1abaA/1abaA_9.pdb
0.2171	14.14	23.85	./distfold-jobs/output-1abaA/1abaA_model4.pdb
0.2318	11.83	23.85	./distfold-jobs/output-1abaA/1abaA_15.pdb
0.2395	9.36	28.16	./distfold-jobs/output-1abaA/1abaA_model3.pdb
0.2417	10.40	26.15	./distfold-jobs/output-1abaA/1abaA_12.pdb
0.2443	9.55	28.45	./distfold-jobs/output-1abaA/1abaA_1.pdb
0.2455	12.45	24.71	./distfold-jobs/output-1abaA/1abaA_8.pdb
0.2474	10.08	26.72	./distfold-jobs/output-1abaA/1abaA_18.pdb
0.2743	11.19	29.89	./distfold-jobs/output-1abaA/1abaA_model2.pdb
1ag6A
TM	RMSD	GDTTS	MODEL
0.1030	58.42	10.61	./distfold-jobs/output-1ag6A/extended.pdb
0.1707	20.21	15.66	./distfold-jobs/output-1ag6A/1ag6A_9.pdb
0.1784	17.51	16.16	./distfold-jobs/output-1ag6A/1ag6A_5.pdb
0.1789	17.01	16.92	./distfold-jobs/output-1ag6A/1ag6A_10.pdb
0.1828	16.21	18.18	./distfold-jobs/output-1ag6A/1ag6A_13.pdb
0.1888	16.04	18.18	./distfold-jobs/output-1ag6A/1ag6A_16.pdb
0.1889	17.03	18.94	./distfold-jobs/output-1ag6A/1ag6A_model2.pdb
0.1895	17.10	17.42	./distfold-jobs/output-1ag6A/1ag6A_model5.pdb
0.1904	18.70	16.67	./distfold-jobs/output-1ag6A/1ag6A_15.pdb
0.1960	17.00	18.94	./distfold-jobs/output-1ag6A/1ag6A_model3.pdb
0.1992	17.65	19.19	./distfold-jobs/output-1ag6A/1ag6A_14.pdb
0.2051	12.67	18.69	./distfold-jobs/output-1ag6A/1ag6A_19.pdb
0.2064	12.80	19.19	./distfold-jobs/output-1ag6A/1ag6A_model4.pdb
0.2088	13.72	20.20	./distfold-jobs/output-1ag6A/1ag6A_12.pdb
0.2176	12.90	20.71	./distfold-jobs/output-1ag6A/1ag6A_3.pdb
0.2221	14.34	21.46	./distfold-jobs/output-1ag6A/1ag6A_2.pdb
0.2427	12.35	23.23	./distfold-jobs/output-1ag6A/1ag6A_11.pdb
0.2446	12.44	23.23	./distfold-jobs/output-1ag6A/1ag6A_4.pdb
0.2472	11.95	23.23	./distfold-jobs/output-1ag6A/1ag6A_20.pdb
0.2548	12.92	22.98	./distfold-jobs/output-1ag6A/1ag6A_model1.pdb
0.2809	11.87	26.26	./distfold-jobs/output-1ag6A/1ag6A_18.pdb
1aoeA
TM	RMSD	GDTTS	MODEL
0.0721	110.70	5.99	./distfold-jobs/output-1aoeA/extended.pdb
0.2089	19.74	13.80	./distfold-jobs/output-1aoeA/1aoeA_16.pdb
0.2229	19.85	13.80	./distfold-jobs/output-1aoeA/1aoeA_12.pdb
0.2286	19.24	14.32	./distfold-jobs/output-1aoeA/1aoeA_5.pdb
0.2295	18.71	14.58	./distfold-jobs/output-1aoeA/1aoeA_3.pdb
0.2356	17.29	14.71	./distfold-jobs/output-1aoeA/1aoeA_4.pdb
0.2433	18.87	14.84	./distfold-jobs/output-1aoeA/1aoeA_model4.pdb
0.2466	19.28	15.49	./distfold-jobs/output-1aoeA/1aoeA_model2.pdb
0.2471	15.85	16.41	./distfold-jobs/output-1aoeA/1aoeA_7.pdb
0.2477	18.56	16.02	./distfold-jobs/output-1aoeA/1aoeA_19.pdb
0.2520	17.76	16.54	./distfold-jobs/output-1aoeA/1aoeA_9.pdb
0.2529	18.57	16.02	./distfold-jobs/output-1aoeA/1aoeA_10.pdb
0.2603	18.52	16.80	./distfold-jobs/output-1aoeA/1aoeA_model5.pdb
0.2615	15.55	16.80	./distfold-jobs/output-1aoeA/1aoeA_20.pdb
0.2624	18.02	16.80	./distfold-jobs/output-1aoeA/1aoeA_11.pdb
0.2674	16.29	16.93	./distfold-jobs/output-1aoeA/1aoeA_6.pdb
0.2786	15.85	17.84	./distfold-jobs/output-1aoeA/1aoeA_18.pdb
0.2825	18.62	18.49	./distfold-jobs/output-1aoeA/1aoeA_2.pdb
0.2848	15.82	18.49	./distfold-jobs/output-1aoeA/1aoeA_model3.pdb
0.3024	15.01	19.27	./distfold-jobs/output-1aoeA/1aoeA_model1.pdb
0.3109	14.08	20.57	./distfold-jobs/output-1aoeA/1aoeA_14.pdb
1atlA
TM	RMSD	GDTTS	MODEL
0.0746	109.60	5.87	./distfold-jobs/output-1atlA/extended.pdb
0.2073	17.98	14.25	./distfold-jobs/output-1atlA/1atlA_model4.pdb
0.2091	23.00	14.12	./distfold-jobs/output-1atlA/1atlA_5.pdb
0.2172	21.43	14.50	./distfold-jobs/output-1atlA/1atlA_18.pdb
0.2239	22.46	15.00	./distfold-jobs/output-1atlA/1atlA_3.pdb
0.2251	17.51	15.00	./distfold-jobs/output-1atlA/1atlA_model3.pdb
0.2292	17.51	16.00	./distfold-jobs/output-1atlA/1atlA_model1.pdb
0.2368	21.32	15.38	./distfold-jobs/output-1atlA/1atlA_4.pdb
0.2430	20.47	15.87	./distfold-jobs/output-1atlA/1atlA_17.pdb
0.2440	16.58	16.25	./distfold-jobs/output-1atlA/1atlA_model2.pdb
0.2442	15.64	16.37	./distfold-jobs/output-1atlA/1atlA_9.pdb
0.2489	15.71	17.00	./distfold-jobs/output-1atlA/1atlA_8.pdb
0.2519	21.50	16.63	./distfold-jobs/output-1atlA/1atlA_19.pdb
0.2565	22.22	17.37	./distfold-jobs/output-1atlA/1atlA_15.pdb
0.2592	17.02	16.00	./distfold-jobs/output-1atlA/1atlA_16.pdb
0.2617	14.55	16.88	./distfold-jobs/output-1atlA/1atlA_13.pdb
0.2683	20.73	17.13	./distfold-jobs/output-1atlA/1atlA_14.pdb
0.2776	19.99	17.87	./distfold-jobs/output-1atlA/1atlA_model5.pdb
0.2812	20.41	19.25	./distfold-jobs/output-1atlA/1atlA_7.pdb
0.2934	13.28	18.50	./distfold-jobs/output-1atlA/1atlA_11.pdb
0.2939	15.43	18.87	./distfold-jobs/output-1atlA/1atlA_2.pdb
1atzA
TM	RMSD	GDTTS	MODEL
0.1257	46.99	14.00	./distfold-jobs/output-1atzA/extended.pdb
0.2518	9.76	33.67	./distfold-jobs/output-1atzA/1atzA_1.pdb
0.2538	8.16	33.67	./distfold-jobs/output-1atzA/1atzA_13.pdb
0.2550	8.16	34.33	./distfold-jobs/output-1atzA/1atzA_model2.pdb
0.2552	11.17	35.00	./distfold-jobs/output-1atzA/1atzA_model5.pdb
0.2571	10.91	34.00	./distfold-jobs/output-1atzA/1atzA_2.pdb
0.2599	9.54	35.33	./distfold-jobs/output-1atzA/1atzA_4.pdb
0.2686	8.04	36.33	./distfold-jobs/output-1atzA/1atzA_model3.pdb
0.2769	12.47	35.00	./distfold-jobs/output-1atzA/1atzA_17.pdb
0.2771	7.43	37.67	./distfold-jobs/output-1atzA/1atzA_3.pdb
0.2803	7.14	38.00	./distfold-jobs/output-1atzA/1atzA_model4.pdb
0.2803	8.29	38.00	./distfold-jobs/output-1atzA/1atzA_model1.pdb
0.2814	11.90	36.67	./distfold-jobs/output-1atzA/1atzA_18.pdb
0.2854	10.90	34.67	./distfold-jobs/output-1atzA/1atzA_15.pdb
0.2889	8.54	39.33	./distfold-jobs/output-1atzA/1atzA_11.pdb
0.3029	12.71	32.00	./distfold-jobs/output-1atzA/1atzA_10.pdb
0.3030	7.12	37.33	./distfold-jobs/output-1atzA/1atzA_7.pdb
0.3076	12.68	33.33	./distfold-jobs/output-1atzA/1atzA_5.pdb
0.3168	10.70	39.33	./distfold-jobs/output-1atzA/1atzA_6.pdb
0.3320	6.68	41.67	./distfold-jobs/output-1atzA/1atzA_16.pdb
0.3401	11.79	38.67	./distfold-jobs/output-1atzA/1atzA_19.pdb
1avsA
TM	RMSD	GDTTS	MODEL
0.0973	48.17	11.73	./distfold-jobs/output-1avsA/extended.pdb
0.2164	11.13	28.40	./distfold-jobs/output-1avsA/1avsA_1.pdb
0.2265	10.75	27.78	./distfold-jobs/output-1avsA/1avsA_model5.pdb
0.2284	13.91	25.93	./distfold-jobs/output-1avsA/1avsA_12.pdb
0.2284	11.57	29.01	./distfold-jobs/output-1avsA/1avsA_13.pdb
0.2351	11.17	29.63	./distfold-jobs/output-1avsA/1avsA_10.pdb
0.2353	11.94	28.40	./distfold-jobs/output-1avsA/1avsA_19.pdb
0.2364	12.99	29.32	./distfold-jobs/output-1avsA/1avsA_17.pdb
0.2389	9.86	31.48	./distfold-jobs/output-1avsA/1avsA_14.pdb
0.2396	13.10	27.78	./distfold-jobs/output-1avsA/1avsA_4.pdb
0.2490	10.20	32.41	./distfold-jobs/output-1avsA/1avsA_15.pdb
0.2499	11.50	29.94	./distfold-jobs/output-1avsA/1avsA_2.pdb
0.2530	9.44	33.33	./distfold-jobs/output-1avsA/1avsA_model2.pdb
0.2563	14.52	28.70	./distfold-jobs/output-1avsA/1avsA_11.pdb
0.2589	13.54	29.94	./distfold-jobs/output-1avsA/1avsA_18.pdb
0.2611	9.89	32.41	./distfold-jobs/output-1avsA/1avsA_20.pdb
0.2634	9.49	31.17	./distfold-jobs/output-1avsA/1avsA_5.pdb
0.2680	9.64	32.72	./distfold-jobs/output-1avsA/1avsA_6.pdb
0.2863	9.38	35.80	./distfold-jobs/output-1avsA/1avsA_model3.pdb
0.3075	9.57	35.19	./distfold-jobs/output-1avsA/1avsA_model4.pdb
0.3233	9.21	37.35	./distfold-jobs/output-1avsA/1avsA_model1.pdb
1bdoA
TM	RMSD	GDTTS	MODEL
0.0998	51.71	12.50	./distfold-jobs/output-1bdoA/extended.pdb
0.1764	13.22	19.06	./distfold-jobs/output-1bdoA/1bdoA_10.pdb
0.1787	11.93	20.31	./distfold-jobs/output-1bdoA/1bdoA_2.pdb
0.1829	12.39	20.94	./distfold-jobs/output-1bdoA/1bdoA_7.pdb
0.1870	14.72	21.25	./distfold-jobs/output-1bdoA/1bdoA_6.pdb
0.1893	16.22	24.06	./distfold-jobs/output-1bdoA/1bdoA_model1.pdb
0.1907	15.80	20.31	./distfold-jobs/output-1bdoA/1bdoA_13.pdb
0.1923	15.13	21.25	./distfold-jobs/output-1bdoA/1bdoA_3.pdb
0.1934	17.32	21.56	./distfold-jobs/output-1bdoA/1bdoA_18.pdb
0.1943	14.83	21.25	./distfold-jobs/output-1bdoA/1bdoA_11.pdb
0.1957	10.96	22.81	./distfold-jobs/output-1bdoA/1bdoA_model3.pdb
0.1960	15.06	21.56	./distfold-jobs/output-1bdoA/1bdoA_5.pdb
0.1961	15.58	21.56	./distfold-jobs/output-1bdoA/1bdoA_17.pdb
0.1965	14.85	21.88	./distfold-jobs/output-1bdoA/1bdoA_model2.pdb
0.1974	15.62	21.88	./distfold-jobs/output-1bdoA/1bdoA_9.pdb
0.1980	16.54	22.19	./distfold-jobs/output-1bdoA/1bdoA_model5.pdb
0.1992	15.83	21.88	./distfold-jobs/output-1bdoA/1bdoA_4.pdb
0.2018	15.38	20.62	./distfold-jobs/output-1bdoA/1bdoA_12.pdb
0.2066	17.19	21.25	./distfold-jobs/output-1bdoA/1bdoA_1.pdb
0.2140	14.16	23.75	./distfold-jobs/output-1bdoA/1bdoA_model4.pdb
0.2142	15.73	22.81	./distfold-jobs/output-1bdoA/1bdoA_8.pdb
1bebA
TM	RMSD	GDTTS	MODEL
0.0939	89.37	8.01	./distfold-jobs/output-1bebA/extended.pdb
0.1755	17.51	13.46	./distfold-jobs/output-1bebA/1bebA_model3.pdb
0.1764	18.42	13.14	./distfold-jobs/output-1bebA/1bebA_2.pdb
0.1871	17.77	14.58	./distfold-jobs/output-1bebA/1bebA_14.pdb
0.1884	17.69	13.46	./distfold-jobs/output-1bebA/1bebA_16.pdb
0.1885	17.52	13.62	./distfold-jobs/output-1bebA/1bebA_11.pdb
0.1897	18.38	14.10	./distfold-jobs/output-1bebA/1bebA_9.pdb
0.1933	18.86	14.26	./distfold-jobs/output-1bebA/1bebA_model4.pdb
0.1944	17.57	13.94	./distfold-jobs/output-1bebA/1bebA_19.pdb
0.1956	16.87	14.26	./distfold-jobs/output-1bebA/1bebA_1.pdb
0.1981	18.58	13.62	./distfold-jobs/output-1bebA/1bebA_6.pdb
0.2012	17.42	15.22	./distfold-jobs/output-1bebA/1bebA_5.pdb
0.2074	17.16	16.19	./distfold-jobs/output-1bebA/1bebA_4.pdb
0.2316	17.26	17.79	./distfold-jobs/output-1bebA/1bebA_12.pdb
0.2329	15.94	17.31	./distfold-jobs/output-1bebA/1bebA_model5.pdb
0.2334	17.12	16.35	./distfold-jobs/output-1bebA/1bebA_7.pdb
0.2386	17.00	16.51	./distfold-jobs/output-1bebA/1bebA_3.pdb
0.2444	15.45	16.67	./distfold-jobs/output-1bebA/1bebA_model2.pdb
0.2462	15.98	18.27	./distfold-jobs/output-1bebA/1bebA_15.pdb
0.2487	15.66	19.07	./distfold-jobs/output-1bebA/1bebA_model1.pdb
0.2631	14.13	19.23	./distfold-jobs/output-1bebA/1bebA_20.pdb
1behA
TM	RMSD	GDTTS	MODEL
0.0782	104.30	6.93	./distfold-jobs/output-1behA/extended.pdb
0.2058	20.51	12.77	./distfold-jobs/output-1behA/1behA_model2.pdb
0.2083	19.58	12.09	./distfold-jobs/output-1behA/1behA_17.pdb
0.2219	19.49	13.04	./distfold-jobs/output-1behA/1behA_6.pdb
0.2221	17.79	13.32	./distfold-jobs/output-1behA/1behA_14.pdb
0.2227	19.78	13.32	./distfold-jobs/output-1behA/1behA_2.pdb
0.2264	19.26	13.45	./distfold-jobs/output-1behA/1behA_19.pdb
0.2264	18.13	14.95	./distfold-jobs/output-1behA/1behA_12.pdb
0.2266	20.15	14.27	./distfold-jobs/output-1behA/1behA_model4.pdb
0.2336	19.14	14.54	./distfold-jobs/output-1behA/1behA_model1.pdb
0.2343	20.23	14.27	./distfold-jobs/output-1behA/1behA_model3.pdb
0.2362	19.46	15.08	./distfold-jobs/output-1behA/1behA_model5.pdb
0.2362	18.88	14.13	./distfold-jobs/output-1behA/1behA_3.pdb
0.2369	16.78	14.27	./distfold-jobs/output-1behA/1behA_11.pdb
0.2371	18.18	15.49	./distfold-jobs/output-1behA/1behA_10.pdb
0.2373	18.54	14.27	./distfold-jobs/output-1behA/1behA_13.pdb
0.2375	19.38	14.81	./distfold-jobs/output-1behA/1behA_20.pdb
0.2395	18.03	14.81	./distfold-jobs/output-1behA/1behA_4.pdb
0.2400	18.46	16.03	./distfold-jobs/output-1behA/1behA_8.pdb
0.2421	17.68	15.49	./distfold-jobs/output-1behA/1behA_16.pdb
0.2439	15.43	14.95	./distfold-jobs/output-1behA/1behA_1.pdb
1bkrA
TM	RMSD	GDTTS	MODEL
0.0887	65.70	9.03	./distfold-jobs/output-1bkrA/extended.pdb
0.2238	14.78	23.15	./distfold-jobs/output-1bkrA/1bkrA_9.pdb
0.2273	15.50	23.38	./distfold-jobs/output-1bkrA/1bkrA_20.pdb
0.2300	14.13	24.54	./distfold-jobs/output-1bkrA/1bkrA_14.pdb
0.2315	13.73	24.31	./distfold-jobs/output-1bkrA/1bkrA_16.pdb
0.2366	15.98	25.00	./distfold-jobs/output-1bkrA/1bkrA_13.pdb
0.2592	14.32	23.84	./distfold-jobs/output-1bkrA/1bkrA_8.pdb
0.2609	14.60	25.46	./distfold-jobs/output-1bkrA/1bkrA_15.pdb
0.2925	12.10	30.09	./distfold-jobs/output-1bkrA/1bkrA_2.pdb
0.3140	8.35	32.18	./distfold-jobs/output-1bkrA/1bkrA_17.pdb
0.3157	9.54	31.48	./distfold-jobs/output-1bkrA/1bkrA_7.pdb
0.3170	8.75	31.02	./distfold-jobs/output-1bkrA/1bkrA_5.pdb
0.3171	8.99	31.48	./distfold-jobs/output-1bkrA/1bkrA_model2.pdb
0.3189	9.25	32.41	./distfold-jobs/output-1bkrA/1bkrA_1.pdb
0.3316	9.29	32.41	./distfold-jobs/output-1bkrA/1bkrA_4.pdb
0.3323	10.41	33.80	./distfold-jobs/output-1bkrA/1bkrA_18.pdb
0.3445	8.88	35.19	./distfold-jobs/output-1bkrA/1bkrA_model5.pdb
0.3480	9.72	34.03	./distfold-jobs/output-1bkrA/1bkrA_model4.pdb
0.3587	9.20	34.95	./distfold-jobs/output-1bkrA/1bkrA_model1.pdb
0.3660	8.99	35.88	./distfold-jobs/output-1bkrA/1bkrA_model3.pdb
0.3933	7.15	35.19	./distfold-jobs/output-1bkrA/1bkrA_10.pdb
1brfA
TM	RMSD	GDTTS	MODEL
0.1428	36.26	17.45	./distfold-jobs/output-1brfA/extended.pdb
0.1508	11.06	23.58	./distfold-jobs/output-1brfA/1brfA_model2.pdb
0.1542	10.85	22.64	./distfold-jobs/output-1brfA/1brfA_10.pdb
0.1575	11.68	25.47	./distfold-jobs/output-1brfA/1brfA_13.pdb
0.1602	10.95	23.58	./distfold-jobs/output-1brfA/1brfA_model5.pdb
0.1611	10.56	25.47	./distfold-jobs/output-1brfA/1brfA_1.pdb
0.1627	10.92	25.00	./distfold-jobs/output-1brfA/1brfA_6.pdb
0.1634	10.37	24.06	./distfold-jobs/output-1brfA/1brfA_5.pdb
0.1642	9.98	23.58	./distfold-jobs/output-1brfA/1brfA_15.pdb
0.1660	11.47	25.47	./distfold-jobs/output-1brfA/1brfA_12.pdb
0.1675	11.91	26.89	./distfold-jobs/output-1brfA/1brfA_model4.pdb
0.1766	9.93	28.30	./distfold-jobs/output-1brfA/1brfA_model3.pdb
0.1802	10.09	25.00	./distfold-jobs/output-1brfA/1brfA_model1.pdb
0.1803	9.57	27.83	./distfold-jobs/output-1brfA/1brfA_8.pdb
0.1868	11.99	24.53	./distfold-jobs/output-1brfA/1brfA_3.pdb
0.1886	12.60	25.00	./distfold-jobs/output-1brfA/1brfA_7.pdb
0.1890	11.09	26.42	./distfold-jobs/output-1brfA/1brfA_14.pdb
0.1899	11.69	22.64	./distfold-jobs/output-1brfA/1brfA_11.pdb
0.1944	10.29	27.36	./distfold-jobs/output-1brfA/1brfA_19.pdb
0.1957	8.81	26.89	./distfold-jobs/output-1brfA/1brfA_16.pdb
0.2088	10.99	27.83	./distfold-jobs/output-1brfA/1brfA_9.pdb
1bsgA
TM	RMSD	GDTTS	MODEL
0.0600	147.70	4.23	./distfold-jobs/output-1bsgA/extended.pdb
0.2194	20.49	11.65	./distfold-jobs/output-1bsgA/1bsgA_5.pdb
0.2306	21.41	14.10	./distfold-jobs/output-1bsgA/1bsgA_19.pdb
0.2327	19.11	12.59	./distfold-jobs/output-1bsgA/1bsgA_12.pdb
0.2347	20.98	12.59	./distfold-jobs/output-1bsgA/1bsgA_10.pdb
0.2378	17.85	12.31	./distfold-jobs/output-1bsgA/1bsgA_1.pdb
0.2388	20.62	12.59	./distfold-jobs/output-1bsgA/1bsgA_18.pdb
0.2429	20.31	13.63	./distfold-jobs/output-1bsgA/1bsgA_17.pdb
0.2460	20.81	12.22	./distfold-jobs/output-1bsgA/1bsgA_6.pdb
0.2567	21.03	14.85	./distfold-jobs/output-1bsgA/1bsgA_2.pdb
0.2614	18.03	13.53	./distfold-jobs/output-1bsgA/1bsgA_model4.pdb
0.2659	18.72	14.57	./distfold-jobs/output-1bsgA/1bsgA_model1.pdb
0.2666	19.32	14.10	./distfold-jobs/output-1bsgA/1bsgA_model2.pdb
0.2701	17.95	14.29	./distfold-jobs/output-1bsgA/1bsgA_8.pdb
0.2965	16.78	15.51	./distfold-jobs/output-1bsgA/1bsgA_20.pdb
0.3002	15.89	15.60	./distfold-jobs/output-1bsgA/1bsgA_15.pdb
0.3101	16.55	15.79	./distfold-jobs/output-1bsgA/1bsgA_9.pdb
0.3313	15.99	17.20	./distfold-jobs/output-1bsgA/1bsgA_4.pdb
